TimeSlot;XZM_DZS;DZS_ZCL;ZCL_WDK;WDK_SD;SD_QRS;QRS_XEQ;XEQ_LZ;LZ_HLG;HLG_HY;HY_LSQ;LSQ_BY;BY_WJX;WJX_SYJ;SYJ_GXM;GXM_LF;LF_DZM;DZM_LF;LF_GXM;GXM_SYJ;SYJ_WJX;WJX_BY;BY_LSQ;LSQ_HY;HY_HLG;HLG_LZ;LZ_XEQ;XEQ_QRS;QRS_SD;SD_WDK;WDK_ZCL;ZCL_DZS;DZS_XZM
02:00-02:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02:30-03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:00-03:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:30-04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:00-04:30;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:30-05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05:00-05:30;0;1;1;6;0;0;5;12;15;43;22;32;30;24;10;16;1;2;2;2;0;1;2;33;42;64;62;68;99;90;51;56
05:30-06:00;148;128;101;115;95;95;45;7;10;62;132;145;149;83;129;140;161;180;156;129;85;67;90;74;148;214;259;270;259;223;226;245
06:00-06:30;352;402;428;407;330;196;248;296;464;588;490;744;621;396;429;431;178;158;281;299;306;200;482;636;718;959;1156;1175;1085;1154;643;544
06:30-07:00;848;769;1173;896;914;835;1046;1261;1695;2070;1585;1972;1806;1189;1371;1030;234;290;397;474;633;610;992;1426;2013;2428;4839;4911;5116;3673;2406;2083
07:00-07:30;1993;1779;2414;2120;1799;1682;1784;2595;3043;4582;3531;3864;3772;2953;2670;2383;588;748;873;1192;1223;1279;3071;3393;4246;5906;10534;9450;10071;8111;5081;4485
07:30-08:00;3895;3552;5080;4251;3663;3194;2974;4049;5858;9161;8293;9276;8048;4888;5467;4936;1016;1025;1407;1554;1890;2175;4443;7217;9291;11703;13771;13646;14072;13605;7758;6913
08:00-08:30;5533;5574;8354;6741;5815;5178;3566;5218;7661;11940;9926;12258;11737;7562;6686;6459;1213;1242;1699;2216;2646;3059;7741;11240;14352;15390;18584;17996;18486;16818;9272;8747
08:30-09:00;5473;5646;8479;6850;5951;5108;2981;4089;6543;10667;10585;12597;10853;7094;6783;5289;1290;1212;1403;2035;2219;2950;7716;11146;14385;16407;16853;15916;15941;13772;8433;6343
09:00-09:30;4649;4852;7911;5957;5334;4193;2233;3489;5423;8247;8566;9613;7911;5157;5168;3712;916;896;1325;1893;2511;2695;6740;9494;14488;17082;15271;13937;13803;11411;5505;4583
09:30-10:00;4197;4556;5892;5370;4743;4424;1255;2154;2820;5028;5153;5799;4424;2721;2944;2257;806;723;943;1346;1394;2023;4344;7495;8323;11764;10049;10074;9994;8488;3257;2763
10:00-10:30;2439;2679;3685;2991;2902;2619;967;1079;1627;1852;1794;2526;2177;1845;1605;1619;597;529;666;966;875;940;2131;3056;4786;5183;5283;4986;5804;5543;2247;2169
10:30-11:00;1948;1679;2696;2020;1855;1640;848;1047;1026;1327;1180;1292;1631;1035;1325;989;428;539;559;651;769;627;1290;1408;1626;2165;2724;3042;3221;3172;1788;1655
11:00-11:30;1630;1864;1934;2089;1735;1492;820;803;877;1308;986;938;1250;949;979;902;550;467;656;929;722;762;896;936;1052;1617;2215;2578;2707;2338;1883;1385
11:30-12:00;1687;1381;2474;1736;1964;1297;1172;922;1065;960;675;861;894;630;681;756;404;494;619;659;739;615;1107;1127;1171;1066;1530;2363;2532;2910;1691;2032
12:00-12:30;1633;1627;2346;2002;1394;1460;685;920;815;1200;904;987;856;888;920;750;548;464;557;742;619;623;1019;1191;1073;1416;2376;2412;2114;1854;1562;1496
12:30-13:00;1302;1626;1868;2054;1943;1856;1304;980;1175;1401;1039;868;1224;848;685;855;512;574;625;630;718;691;837;844;1124;1026;2213;2351;3067;2929;1998;1635
13:00-13:30;1653;1377;2292;1636;1382;1299;1131;1271;1284;1106;823;1150;1144;712;903;676;407;518;499;811;595;562;987;988;1108;1307;1729;2807;3015;3604;2018;2206
13:30-14:00;1300;1623;1660;1866;1868;1717;724;935;794;1090;890;724;873;775;654;826;508;426;622;725;665;632;777;946;838;1146;1990;2435;2096;2143;1788;1384
14:00-14:30;1498;1260;2224;1957;1699;1250;995;712;899;732;608;906;992;708;868;847;386;546;650;705;728;647;970;760;935;850;1617;1517;2159;2498;1152;1454
14:30-15:00;1692;1709;2350;1664;1487;1760;1012;968;768;1036;698;731;726;748;776;593;515;469;555;862;617;551;951;925;745;980;1333;1840;1667;2272;1564;1527
15:00-15:30;1459;1797;2001;2309;2104;2003;988;835;932;937;663;536;770;641;591;755;558;584;680;722;826;742;794;688;768;814;1402;1267;1833;1555;1461;1173
15:30-16:00;2164;1796;3147;2499;2724;1782;1284;1129;1020;825;590;760;826;528;645;538;668;834;918;1253;1081;843;1084;960;897;711;1096;1493;1670;2089;1119;1402
16:00-16:30;2496;2655;3690;3376;2495;2725;1264;1356;927;1086;648;580;647;606;516;655;703;978;948;1494;1127;890;1088;962;917;964;1539;1643;1557;1768;1458;1467
16:30-17:00;2609;3058;4090;4088;3998;3090;2051;1732;1523;1162;951;924;863;570;744;770;887;1022;1381;1526;1668;1164;1680;1316;1072;1129;1818;1896;2219;2595;1947;1758
17:00-17:30;3729;3652;5616;6162;4965;4756;3592;2451;2041;1748;961;1109;1052;903;932;1154;1877;2265;2647;3416;2496;1957;2014;1528;1418;1154;2345;2823;3117;3532;2295;2272
17:30-18:00;5646;6206;9621;10015;9073;8725;6267;4711;4162;3099;1654;1719;1670;1397;1326;1490;2316;3483;3370;5417;4660;3849;4146;2444;1933;1646;3129;3580;3850;4823;3275;3354
