TimeSlot;ZXZ_YZL;YZL_PXF;PXF_HLGD;HLGD_HY;HY_YX;YX_XXK;XXK_YTZ;YTZ_LCQ;LCQ_FPSG;FPSG_OP;OP_OSC;OSC_BTC;BTC_AHQ;AHQ_AB;AB_GLDJ;GLDJ_SCH;SCH_NLGX;NLGX_NAM;NAM_NLGX;NLGX_SCH;SCH_GLDJ;GLDJ_AB;AB_AHQ;AHQ_BTC;BTC_OSC;OSC_OP;OP_FPSG;FPSG_LCQ;LCQ_YTZ;YTZ_XXK;XXK_YX;YX_HY;HY_HLGD;HLGD_PXF;PXF_YZL;YZL_ZXZ
02:00-02:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02:30-03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:00-03:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:30-04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:00-04:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:30-05:00;0;2;0;12;9;24;29;21;23;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05:00-05:30;38;41;71;84;70;81;92;138;104;70;85;84;61;76;82;18;21;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
05:30-06:00;57;67;154;340;235;391;324;426;386;374;371;257;211;158;162;73;52;4;14;71;81;103;107;118;62;62;31;32;30;28;33;0;0;0;8;8
06:00-06:30;583;485;571;904;1008;1064;1114;1010;1227;959;1032;831;600;608;641;242;234;34;19;148;158;286;309;255;349;263;257;160;145;112;112;157;95;107;84;87
06:30-07:00;2021;2170;2472;3094;2719;2843;3284;3951;3346;3121;3144;2628;1696;1526;1585;857;621;140;51;481;511;629;666;658;990;848;758;581;409;455;346;407;323;346;334;257
07:00-07:30;4166;3796;4627;7397;6555;6876;6908;8635;7930;6845;7540;7485;4752;5025;4405;1921;1757;360;107;1147;1207;1439;1522;1380;1476;1682;1413;1215;1015;981;908;995;808;824;851;741
07:30-08:00;4496;5603;7861;12616;11332;12083;12587;13105;14171;13231;13516;11593;7839;8318;8143;3526;3274;562;169;1872;1838;2935;3104;3036;3855;3341;2206;2167;1982;1702;1633;1727;1364;1620;1904;1620
