TimeSlot;CPX_MT;MT_CP;CP_CPD;CPD_BSW;BSW_NS;NS_SUP;SUP_SH;SH_GHC;GHC_ZXZ;ZXZ_LSP;LSP_XEQ;XEQ_LSP;LSP_ZXZ;ZXZ_GHC;GHC_SH;SH_SUP;SUP_NS;NS_BSW;BSW_CPD;CPD_CP;CP_MT;MT_CPX
02:00-02:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02:30-03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:00-03:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03:30-04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:00-04:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:30-05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05:00-05:30;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05:30-06:00;47;82;385;469;371;13;23;69;69;86;90;19;14;28;14;29;18;15;11;0;0;0
06:00-06:30;70;134;1131;1195;1511;2069;2064;3124;2762;1919;1724;156;122;156;112;111;90;45;39;34;4;3
06:30-07:00;212;373;2016;2420;2117;3142;3744;6396;6964;4204;4014;495;396;612;487;397;258;275;264;158;21;17
07:00-07:30;362;586;2850;3316;4435;5292;6951;13207;9900;9019;8184;1039;950;1036;820;837;892;582;564;416;59;45
07:30-08:00;425;849;3012;4458;4467;5794;8027;14130;16158;12447;12999;1717;1374;1912;1780;1572;1288;958;744;599;124;78
08:00-08:30;316;672;3284;3539;4940;6661;10301;12271;12657;13642;11196;2404;1224;1990;2307;1785;1581;1109;1198;744;113;107
08:30-09:00;200;399;2071;3120;3538;5075;7377;11969;12216;11710;10721;1852;1151;1408;1435;1215;1186;746;760;588;97;61
09:00-09:30;113;230;1468;1875;2107;2883;4272;7856;9414;11159;10855;1118;949;1247;1229;1053;933;672;621;383;87;66
